ORIGIN,DESTINATION,TOTAL SEATS
Australia,Hong Kong,40270
Australia,Tonga,525
Australia,Western Samoa,897
Australia,Philippines,8690
Australia,Indonesia,46880
Australia,New Caledonia,2280
Australia,United States,45765
Australia,Vietnam,7990
Australia,New Zealand,106271
Australia,Taiwan,9828
Australia,Mauritius,1100
Australia,South Africa,4178
Australia,Norfolk Island,850
Australia,United Arab Emirates,55152
Australia,India,2048
Australia,Brunei Darussalam,2032
Australia,United Kingdom,1888
Australia,Malaysia,30492
Australia,Christmas Island,198
Australia,Sri Lanka,2176
Australia,Japan,24931
Australia,South Korea,6895
Australia,Fiji,11258
Singapore,Turkey,4120
Singapore,East Timor,300
Singapore,Qatar,7488
Singapore,Italy,2783
Singapore,Bangladesh,8296
Singapore,Nepal,1092
Singapore,Cambodia,8988
Singapore,France,5913
Singapore,Ethiopia,1620
Singapore,Maldives,4598
Singapore,Laos,450
Singapore,Uzbekistan,227
Singapore,Saudi Arabia,735
Singapore,Australia,80673
Singapore,Papua New Guinea,1128
Singapore,China,86184
Singapore,Russian Federation,1518
Singapore,Thailand,81722
Singapore,Germany,14767
Singapore,Hong Kong,43855
Singapore,Poland,1008
Singapore,Spain,506
Singapore,Netherlands,6542
Singapore,Denmark,1375
Singapore,Philippines,47843
Singapore,Indonesia,122808
Singapore,United States,5928
Singapore,Vietnam,34517
Singapore,Finland,2480
Singapore,Switzerland,6168
Singapore,New Zealand,10200
Singapore,South Korea,18253
Singapore,Mauritius,1375
Singapore,Macau,1738
Singapore,Myanmar,8709
Singapore,South Africa,2024
Singapore,United Arab Emirates,18504
Singapore,India,61412
Singapore,Brunei Darussalam,3322
Singapore,United Kingdom,23940
Singapore,Malaysia,98332
Singapore,Greece,735
Singapore,Sri Lanka,9848
Singapore,Japan,40574
Singapore,Taiwan,24799
Singapore,Fiji,819
Saint Kitts and Nevis,United States,2655
Saint Kitts and Nevis,British Virgin Islands,74
Saint Kitts and Nevis,Antigua and Barbuda,1880
Saint Kitts and Nevis,Sint Maarten,606
Saint Kitts and Nevis,Anguilla,18
Saint Kitts and Nevis,Dominica,36
Gabon,Turkey,960
Gabon,Sao Tome and Principe,210
Gabon,Morocco,444
Gabon,Democratic Republic of the Congo,268
Gabon,France,2705
Gabon,Togo,737
Gabon,Congo,1692
Gabon,Rwanda,480
Gabon,Mali,256
Gabon,Nigeria,134
Gabon,Ivory Coast (Cote d'Ivoire),1276
Gabon,Cameroon,1596
Gabon,Benin,1224
Togo,Ghana,1885
Togo,Portugal,542
Togo,Democratic Republic of the Congo,536
Togo,Morocco,444
Togo,France,416
Togo,United States,1350
Togo,Ethiopia,1620
Togo,Gabon,737
Togo,Mali,335
Togo,Nigeria,1474
Togo,Ivory Coast (Cote d'Ivoire),1608
Togo,Cameroon,804
Togo,Burkina Faso,404
Togo,Benin,540
Guatemala,Honduras,1382
Guatemala,Mexico,7726
Guatemala,El Salvador,5648
Guatemala,Panama,4311
Guatemala,Cuba,422
Guatemala,Costa Rica,4625
Guatemala,United States,13850
Guatemala,Colombia,800
Guatemala,Belize,66
Guatemala,Nicaragua,1344
China,Turkey,3364
China,Canada,4646
China,Qatar,4916
China,Italy,522
China,Cambodia,17631
China,France,3076
China,Ethiopia,3882
China,Laos,790
China,Australia,24314
China,Iran,768
China,Singapore,16364
China,Germany,714
China,Russian Federation,5380
China,Thailand,57430
China,Iraq,288
China,Mauritius,550
China,Netherlands,1666
China,Oman,1040
China,Philippines,6400
China,Indonesia,11410
China,United States,11862
China,Vietnam,15029
China,Finland,562
China,Kenya,476
China,New Zealand,8704
China,Pakistan,652
China,Myanmar,1176
China,Egypt,2912
China,United Arab Emirates,7097
China,United Kingdom,2604
China,Malaysia,23576
China,Sri Lanka,3162
China,Japan,13532
Chile,Brazil,25963
Chile,Canada,1722
Chile,Australia,2686
Chile,Italy,1465
Chile,Peru,24452
Chile,Mexico,4665
Chile,Panama,7080
Chile,Uruguay,3433
Chile,United Kingdom,1085
Chile,French Polynesia,297
Chile,France,2888
Chile,United States,15003
Chile,Ecuador,1323
Chile,Colombia,7872
Chile,Dominican Republic,297
Chile,Paraguay,1592
Chile,Argentina,33516
Chile,Bolivia,1618
Chile,Venezuela,296
Chile,New Zealand,2376
Chile,Spain,7532
Russian Federation,Turkey,24348
Russian Federation,Afghanistan,155
Russian Federation,Qatar,5536
Russian Federation,Italy,28448
Russian Federation,Czech Republic,18105
Russian Federation,Serbia,3688
Russian Federation,Cyprus,5074
Russian Federation,Malta,1044
Russian Federation,France,16296
